[	0,2248	0,0166	0,0000	]
[	0,2237	0,0120	0,0000	]
[	0,2219	0,0076	0,0000	]
[	0,2195	0,0036	0,0000	]
[	0,2164	0,0001	0,0000	]
[	0,2128	-0,0030	0,0000	]
[	0,2088	-0,0055	0,0000	]
[	0,2045	-0,0073	0,0000	]
[	0,1999	-0,0084	0,0000	]
[	0,1952	-0,0087	0,0000	]
[	0,1905	-0,0084	0,0000	]
[	0,1859	-0,0073	0,0000	]
[	0,1816	-0,0055	0,0000	]
[	0,1776	-0,0030	0,0000	]
[	0,1740	0,0001	0,0000	]
[	0,1709	0,0036	0,0000	]
[	0,1685	0,0076	0,0000	]
[	0,1667	0,0120	0,0000	]
[	0,1656	0,0166	0,0000	]
[	0,1652	0,0213	0,0000	]
[	0,1656	0,0260	0,0000	]
[	0,1667	0,0305	0,0000	]
[	0,1685	0,0349	0,0000	]
[	0,1709	0,0389	0,0000	]
[	0,1740	0,0425	0,0000	]
[	0,1776	0,0455	0,0000	]
[	0,1816	0,0480	0,0000	]
[	0,1859	0,0498	0,0000	]
[	0,1905	0,0509	0,0000	]
[	0,1952	0,0513	0,0000	]
[	0,1999	0,0509	0,0000	]
[	0,2045	0,0498	0,0000	]
[	0,2088	0,0480	0,0000	]
[	0,2128	0,0455	0,0000	]
[	0,2164	0,0425	0,0000	]
[	0,2195	0,0389	0,0000	]
[	0,2219	0,0349	0,0000	]
[	0,2237	0,0305	0,0000	]
[	0,2248	0,0260	0,0000	]
[	0,2252	0,0213	0,0000	]
[	0,2203	0,0377	0,0000	]
[	0,1989	-0,0085	0,0000	]
[	0,1668	0,0310	0,0000	]
