[	0,0970	-0,1717	0,0000	]
[	0,0930	-0,1780	0,0000	]
[	0,0889	-0,1844	0,0000	]
[	0,0849	-0,1907	0,0000	]
[	0,2375	-0,1112	0,0000	]
[	0,2301	-0,1124	0,0000	]
[	0,2226	-0,1135	0,0000	]
[	0,2152	-0,1147	0,0000	]
[	0,2078	-0,1158	0,0000	]
[	0,2004	-0,1170	0,0000	]
[	0,1929	-0,1181	0,0000	]
[	0,1855	-0,1193	0,0000	]
[	0,1781	-0,1204	0,0000	]
[	0,1706	-0,1216	0,0000	]
[	0,1632	-0,1227	0,0000	]
[	0,1558	-0,1239	0,0000	]
[	0,1484	-0,1250	0,0000	]
[	0,1409	-0,1261	0,0000	]
[	0,1335	-0,1273	0,0000	]
[	0,1261	-0,1284	0,0000	]
[	0,1213	-0,1337	0,0000	]
[	0,1173	-0,1400	0,0000	]
[	0,1132	-0,1464	0,0000	]
[	0,1092	-0,1527	0,0000	]
[	0,1051	-0,1590	0,0000	]
[	0,1011	-0,1654	0,0000	]
[	0,0808	-0,1970	0,0000	]
[	0,0785	-0,2031	0,0000	]
[	0,0841	-0,2081	0,0000	]
[	0,0897	-0,2131	0,0000	]
[	0,0955	-0,2179	0,0000	]
[	0,1014	-0,2226	0,0000	]
[	0,1076	-0,2267	0,0000	]
[	0,1145	-0,2297	0,0000	]
[	0,1210	-0,2271	0,0000	]
[	0,1227	-0,2198	0,0000	]
[	0,1233	-0,2123	0,0000	]
[	0,1242	-0,2048	0,0000	]
[	0,1262	-0,1976	0,0000	]
[	0,1305	-0,1915	0,0000	]
[	0,1366	-0,1872	0,0000	]
[	0,1436	-0,1844	0,0000	]
[	0,1509	-0,1827	0,0000	]
[	0,1583	-0,1815	0,0000	]
[	0,1658	-0,1806	0,0000	]
[	0,1732	-0,1796	0,0000	]
[	0,1806	-0,1783	0,0000	]
[	0,1879	-0,1764	0,0000	]
[	0,1949	-0,1737	0,0000	]
[	0,2016	-0,1702	0,0000	]
[	0,2077	-0,1659	0,0000	]
[	0,2133	-0,1609	0,0000	]
[	0,2184	-0,1554	0,0000	]
[	0,2231	-0,1495	0,0000	]
[	0,2273	-0,1433	0,0000	]
[	0,2312	-0,1368	0,0000	]
[	0,2349	-0,1303	0,0000	]
[	0,2383	-0,1236	0,0000	]
[	0,2417	-0,1169	0,0000	]
[	0,2449	-0,1101	0,0000	]
