[	0,1443	0,1397	0,0000	]
[	0,1434	0,1374	0,0000	]
[	0,1425	0,1352	0,0000	]
[	0,1416	0,1329	0,0000	]
[	0,1407	0,1306	0,0000	]
[	0,1400	0,1283	0,0000	]
[	0,1393	0,1259	0,0000	]
[	0,1389	0,1235	0,0000	]
[	0,1387	0,1211	0,0000	]
[	0,1391	0,1187	0,0000	]
[	0,1405	0,1167	0,0000	]
[	0,1427	0,1158	0,0000	]
[	0,1451	0,1154	0,0000	]
[	0,1476	0,1154	0,0000	]
[	0,1500	0,1156	0,0000	]
[	0,1524	0,1159	0,0000	]
[	0,1548	0,1162	0,0000	]
[	0,1572	0,1166	0,0000	]
[	0,1593	0,1177	0,0000	]
[	0,1610	0,1194	0,0000	]
[	0,1628	0,1211	0,0000	]
[	0,1645	0,1228	0,0000	]
[	0,1662	0,1245	0,0000	]
[	0,1680	0,1263	0,0000	]
[	0,1697	0,1280	0,0000	]
[	0,1714	0,1297	0,0000	]
[	0,1732	0,1314	0,0000	]
[	0,1749	0,1331	0,0000	]
[	0,1766	0,1348	0,0000	]
[	0,1783	0,1366	0,0000	]
[	0,1801	0,1383	0,0000	]
[	0,1818	0,1400	0,0000	]
[	0,1835	0,1417	0,0000	]
[	0,1853	0,1434	0,0000	]
[	0,1870	0,1452	0,0000	]
[	0,1887	0,1469	0,0000	]
[	0,1905	0,1486	0,0000	]
[	0,1922	0,1503	0,0000	]
[	0,1939	0,1520	0,0000	]
[	0,1957	0,1537	0,0000	]
[	0,1974	0,1555	0,0000	]
[	0,1991	0,1572	0,0000	]
[	0,2009	0,1589	0,0000	]
[	0,2026	0,1606	0,0000	]
[	0,2043	0,1623	0,0000	]
[	0,2061	0,1641	0,0000	]
[	0,2073	0,1658	0,0000	]
[	0,2055	0,1675	0,0000	]
[	0,2038	0,1692	0,0000	]
[	0,2021	0,1709	0,0000	]
[	0,2004	0,1727	0,0000	]
[	0,1986	0,1744	0,0000	]
[	0,1969	0,1761	0,0000	]
[	0,1952	0,1778	0,0000	]
[	0,1935	0,1796	0,0000	]
[	0,1917	0,1813	0,0000	]
[	0,1900	0,1830	0,0000	]
[	0,1883	0,1847	0,0000	]
[	0,1866	0,1865	0,0000	]
