 ;Area;Mean;Min;Max;Angle;Length
1;261.493;165.608;42.135;184.901;-64.566;254.809
2;209.194;169.389;42.150;175.502;-65.366;203.649
3;285.550;171.863;43.538;217.354;-52.329;277.800
4;265.677;169.489;43.500;198.667;-52.859;259.162
;;;;;;
;;;;;;
;;;;;;
;C_Generada;C_Manipulador;Error_Absoluto;Error_Relativo;Error_Porcentual;
1;254,8090;277,8000;22,9910;0,0902;9,0%;
2;203,6490;259,1620;55,5130;0,2726;27,3%;
Promedio;229,2290;268,4810;;;18,1%;
;C_Generada;C_Manipulador;;;;
Des_estandar;36,18;13,18;;;;
