 ;Area;Mean;Min;Max;Angle;Length
1;284.504;170.865;43.159;221.001;-54.904;277.497
2;267.769;169.841;42.904;206.967;-56.185;260.962
3;271.952;169.106;42.178;198.190;-67.005;264.420
4;212.332;168.862;42.191;174.983;-69.411;206.485
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;C_Generada;C_Manipulador;Error_Absoluto;Error_Relativo;Error_Porcentual;
1;264,4200;277,4970;13,0770;0,0495;4,9%;
2;206,4850;260,9620;54,4770;0,2638;26,4%;
Promedio;235,4525;269,2295;;;15,7%;
;C_Generada;C_Manipulador;;;;
Des_estandar;40,97;11,69;;;;
